Review,Sentiment
we waited for thirty minutes to be seated although there were vacant tables and we were the only folks waiting,0
i ll take my business dinner dollars elsewhere,0
seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh,0
furthermore you can t even find hours of operation on the website,0
my girlfriend s veal was very bad,0
maybe it s just their vegetarian fare but i ve been twice and i thought it was average at best,0
i love this place,1
i swung in to give them a try but was deeply disappointed,0
the place was fairly clean but the food simply wasn t worth it,0
food was delicious,1
it was a pale color instead of nice and char and has no flavor,0
everything was good and tasty,1
over rated,0
would not recommend to others,0
the food is delicious and just spicy enough so be sure to ask for spicier if you prefer it that way,1
i was so insulted,0
as for the mains also uninspired,0
everyone is treated equally special,1
the han nan chicken was also very tasty,1
my friend loved the salmon tartar,1
there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company,0
i give it thumbs down,0
the potato chip order was sad i could probably count how many chips were in that box and it was probably around,0
i asked multiple times for the wine list and after some time of being ignored i went to the hostess and got one myself,0
so in a nutshell the restaraunt smells like a combination of a dirty fish market and a sewer,0
overall i wasn t very impressed with noca,0
the vegetables are so fresh and the sauce feels like authentic thai,1
this isn t a small family restaurant this is a fine dining establishment,1
not my thing,0
the management is rude,0
our server was very nice and attentive as were the other serving staff,1
she ordered a toasted english muffin that came out untoasted,0
the food was great as always compliments to the chef,1
the staff is always super friendly and helpful which is especially cool when you bring two small boys and a baby,1
wow loved this place,1
by this point my friends and i had basically figured out this place was a joke and didn t mind making it publicly and loudly known,0
the atmosphere here is fun,1
not even a hello we will be right with you,0
all in all an excellent restaurant highlighted by great service a unique menu and a beautiful setting,1
the best place in vegas for breakfast just check out a sat or sun,1
the steaks are all well trimmed and also perfectly cooked,1
today was my first taste of a buldogis gourmet hot dog and i have to tell you it was more than i ever thought possible,1
the waitresses are very friendly,1
host staff were for lack of a better word bitches,0
service was excellent and prices are pretty reasonable considering this is vegas and located inside the crystals shopping mall by aria,1
from what my dinner companions told me everything was very fresh with nice texture and taste,1
i would recommend saving room for this,1
and the drinks are weak people,0
in summary this was a largely disappointing dining experience,0
the building itself seems pretty neat the bathroom is pretty trippy but i wouldn t eat here again,0
i also decided not to send it back because our waitress looked like she was on the verge of having a heart attack,0
the chefs were friendly and did a good job,1
i want to first say our server was great and we had perfect service,1
a great way to finish a great,1
just don t know why they were so slow,0
penne vodka excellent,1
good beer drink selection and good food selection,1
what a mistake that was,0
you won t be disappointed,1
nice blanket of moz over top but i feel like this was done to cover up the subpar food,1
we ve tried to like this place but after times i think we re done with them,0
boy was that sucker dry,0
great subway in fact it s so good when you come here every other subway will not meet your expectations,1
i don t think we ll be going back anytime soon,0
restaurant is always full but never a wait,1
took an hour to get our food only tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed,0
what did bother me was the slow service,0
i had a salad with the wings and some ice cream for dessert and left feeling quite satisfied,1
this is a disgrace,0
so flavorful and has just the perfect amount of heat,1
bacon is hella salty,1
i work in the hospitality industry in paradise valley and have refrained from recommending cibo any longer,0
don t do it,0
lordy the khao soi is a dish that is not to be missed for curry lovers,1
honeslty it didn t taste that fresh,0
there was a warm feeling with the service and i felt like their guest for a special treat,1
we had a group of when we claimed we would only have and they handled us beautifully,1
it took over min to get their milkshake which was nothing more than chocolate milk,0
i seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off,0
it was packed,0
if she had not rolled the eyes we may have stayed not sure if we will go back and try it again,0
the bathrooms are clean and the place itself is well decorated,1
paying for a hot dog and fries that looks like it came out of a kid s meal at the wienerschnitzel is not my idea of a good meal,0
great place to have a couple drinks and watch any and all sporting events as the walls are covered with tv s,1
the shower area is outside so you can only rinse not take a full shower unless you don t mind being nude for everyone to see,0
the ri style calamari was a joke,0
i also had to taste my mom s multi grain pumpkin pancakes with pecan butter and they were amazing fluffy and delicious,1
they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers,1
the refried beans that came with my meal were dried out and crusty and the food was bland,0
the flair bartenders are absolutely amazing,1
i ordered the lemon raspberry ice cocktail which was also incredible,1
there is not a deal good enough that would drag me into that establishment again,0
we had so much to say about the place before we walked in that he expected it to be amazing but was quickly disappointed,0
will go back next trip out,1
my breakfast was perpared great with a beautiful presentation of giant slices of toast lightly dusted with powdered sugar,1
the heart attack grill in downtown vegas is an absolutely flat lined excuse for a restaurant,0
left very frustrated,0
anyway this fs restaurant has a wonderful breakfast lunch,1
this is a great place to eat,1
overall i was not impressed and would not go back,0
so they performed,1
this is was due to the fact that it took minutes to be acknowledged then another minutes to get our food and they kept forgetting things,0
the steak and the shrimp are in my opinion the best entrees at gc,1
this place is two thumbs up way up,1
they really want to make your experience a good one,1
hawaiian breeze mango magic and pineapple delight are the smoothies that i ve tried so far and they re all good,1
it was so bad i had lost the heart to finish it,0
omg the food was delicioso,1
he came running after us when he realized my husband had left his sunglasses on the table,1
my gyro was basically lettuce only,0
it was a drive to get there,0
needless to say i won t be going back anytime soon,0
join the club and get awesome offers via email,1
the seafood was fresh and generous in portion,1
the seasonal fruit was fresh white peach puree,1
that said our mouths and bellies were still quite pleased,1
dessert panna cotta was amazing,1
no one at the table thought the food was above average or worth the wait that we had for it,0
anyway i do not think i will go back there,0
sauce was tasteless,0
this place is not worth your time let alone vegas,0
only pros large seating area nice bar area great simple drink menu the best brick oven pizza with homemade dough,1
the selection of food was not the best,0
an hour seriously,0
ordered an appetizer and took minutes and then the pizza another minutes,0
would come back again if i had a sushi craving while in vegas,1
this place has it,1
this place receives stars for their appetizers,1
after waiting an hour and being seated i was not in the greatest of moods,0
you can t beat that,1
great pizza and salads,1
the buffet is small and all the food they offered was bland,0
it was delicious,1
the food was very good and i enjoyed every mouthful an enjoyable relaxed venue for couples small family groups etc,1
i think not again,0
the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced,0
i dressed up to be treated so rudely,0
the staff are great the ambiance is great,1
the service was terrible food was mediocre,0
the cow tongue and cheek tacos are amazing,1
hopefully this bodes for them going out of business and someone who can cook can come in,0
waited and waited and waited,0
i immediately said i wanted to talk to the manager but i did not want to talk to the guy who was doing shots of fireball behind the bar,0
not much flavor to them and very poorly constructed,0
just spicy enough perfect actually,1
if you look for authentic thai food go else where,0
high quality chicken on the chicken caesar salad,1
the service here leaves a lot to be desired,0
the sweet potato tots were good but the onion rings were perfection or as close as i have had,1
what a great double cheeseburger,1
great food and great service in a clean and friendly setting,1
my boyfriend and i sat at the bar and had a completely delightful experience,1
we walked away stuffed and happy about our first vegas buffet experience,1
avoid at all cost,0
the lighting is just dark enough to set the mood,1
ordered burger rare came in we ll done,0
i had about two bites and refused to eat anymore,0
google mediocre and i imagine smashburger will pop up,0
best tacos in town by far,1
for service i give them no stars,0
i guess i should have known that this place would suck because it is inside of the excalibur but i didn t use my common sense,0
nice spicy and tender,1
i really enjoyed crema caf before they expanded i even told friends they had the best breakfast,1
if someone orders two tacos don t you think it may be part of customer service to ask if it is combo or ala cart,0
if you want healthy authentic or ethic food try this place,1
this is one of the better buffets that i have been to,1
good prices,1
i really enjoyed eating here,1
similarly the delivery man did not say a word of apology when our food was minutes late,0
nargile i think you are great,1
total waste of time,0
never been to hard rock casino before will never ever step forward in it again,0
the food is about on par with denny s which is to say not good at all,0
everything was fresh and delicious,1
first the bathrooms at this location were dirty seat covers were not replenished just plain yucky,0
it really is impressive that the place hasn t closed down,0
this place is disgusting,0
we won t be going back,0
the food is good,1
it was extremely crumby and pretty tasteless,0
i checked out this place a couple years ago and was not impressed,0
say bye bye to your tip lady,0
would not go back,0
i m probably one of the few people to ever go to ians and not like it,0
if you love authentic mexican food and want a whole bunch of interesting yet delicious meats to choose from you need to try this place,1
on a positive note our server was very attentive and provided great service,1
hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn t want to eat it for fear of getting sick,0
when my mom and i got home she immediately got sick and she only had a few bites of salad,0
so don t go there if you are looking for good food,0
this was my first crawfish experience and it was delicious,1
i ve had better bagels from the grocery store,0
it ll be a regular stop on my trips to phoenix,1
i had to wait over minutes to get my drink and longer to get arepas,0
our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go,1
this is some seriously good pizza and i m an expert connisseur on the topic,1
not a weekly haunt but definitely a place to come back to every once in a while,1
each day of the week they have a different deal and it s all so delicious,1
but now i was completely grossed out,0
i started this review with two stars but i m editing it to give it only one,0
we definately enjoyed ourselves,1
i gave it stars then and i m giving it stars now,1
the atmosphere is modern and hip while maintaining a touch of coziness,1
to summarize the food was incredible nay transcendant but nothing brings me joy quite like the memory of the pneumatic condiment dispenser,1
very very sad,0
the classic maine lobster roll was fantastic,1
insults profound deuchebaggery and had to go outside for a smoke break while serving just to solidify it,0
damn good steak,1
the food was terrible,0
then our food came out disappointment ensued,0
the wontons were thin not thick and chewy almost melt in your mouth,1
i as well would ve given godfathers zero stars if possible,0
worst martini ever,0
great service and food,1
i was shocked because no signs indicate cash only,0
favorite place in town for shawarrrrrrma,1
the jalapeno bacon is soooo good,1
lobster bisque bussell sprouts risotto filet all needed salt and pepper and of course there is none at the tables,0
we literally sat there for minutes with no one asking to take our order,0
it sure does beat the nachos at the movies but i would expect a little bit more coming from a restaurant,0
service is also cute,1
sadly gordon ramsey s steak is a place we shall sharply avoid during our next trip to vegas,0
the staff was very attentive,1
talk about great customer service of course we will be back,1
the spaghetti is nothing special whatsoever,0
we loved the biscuits,1
nice ambiance,1
best service and food ever maria our server was so good and friendly she made our day,1
great brunch spot,1
four stars for the food the guy in the blue shirt for his great vibe still letting us in to eat,1
best breakfast buffet,1
all of the tapas dishes were delicious,1
we got the food and apparently they have never heard of salt and the batter on the fish was chewy,0
the grilled chicken was so tender and yellow from the saffron seasoning,1
i would definitely recommend the wings as well as the pizza,1
we could not believe how dirty the oysters were,0
so absolutley fantastic,1
crostini that came with the salad was stale,0
the scallop dish is quite appalling for value as well,0
the food was barely lukewarm so it must have been sitting waiting for the server to bring it out to us,0
will not be back,0
what i really like there is the crepe station,1
you cant go wrong with any of the food here,1
the descriptions said yum yum sauce and another said eel sauce yet another said spicy mayo well none of the rolls had sauces on them,0
i dont think i will be back for a very long time,0
i ve had better atmosphere,0
not good by any stretch of the imagination,0
by far the best cheesecurds we have ever had,1
won t ever go here again,0
the waitress was friendly and happy to accomodate for vegan veggie options,1
bland not a liking this place for a number of reasons and i don t want to waste time on bad reviewing i ll leave it at that,0
it was pretty gross,0
don t waste your time here,0
the sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well,1
not much seafood and like strings of pasta at the bottom,0
i love their fries and their beans,1
i felt insulted and disrespected how could you talk and judge another human being like that,0
he deserves stars,1
just as good as when i had it more than a year ago,1
it s too bad the food is so damn generic,0
i have eaten here multiple times and each time the food was delicious,1
the best place to go for a tasty bowl of pho,1
then as if i hadn t wasted enough of my life there they poured salt in the wound by drawing out the time it took to bring the check,0
they were excellent,1
friend s pasta also bad he barely touched it,0
good service very clean and inexpensive to boot,1
nothing special,0
a fantastic neighborhood gem,1
good service check,1
of all the dishes the salmon was the best but all were great,1
but i don t like it,0
we watched our waiter pay a lot more attention to other tables and ignore us,0
we thought you d have to venture further away to get good sushi but this place really hit the spot that night,1
we will not be coming back,0
we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside,1
it shouldn t take min for pancakes and eggs,0
it also took her forever to bring us the check when we asked for it,0
my husband and i ate lunch here and were very disappointed with the food and service,0
very good though,1
cooked to perfection and the service was impeccable,1
ambience is perfect,1
the only downside is the service,0
did not like at all,0
the first time i ever came here i had an amazing experience i still tell people how awesome the duck was,1
when i received my pita it was huge it did have a lot of meat in it so thumbs up there,1
lastly the mozzarella sticks they were the best thing we ordered,1
food was really good and i got full petty fast,1
great steak great sides great wine amazing desserts,1
i had the chicken pho and it tasted very bland,0
my first visit to hiro was a delight,1
perhaps i caught them on an off night judging by the other reviews but i m not inspired to go back,0
drinks took close to minutes to come out at one point,0
the service here is fair at best,0
and the chef was generous with his time even came around twice so we can take pictures with him,1
main thing i didn t enjoy is that the crowd is of older crowd around mid s and up,0
i probably won t be coming back here,0
some highlights great quality nigiri here,1
we waited an hour for what was a breakfast i could have done times better at home,0
they also have the best cheese crisp in town,1
i consider this theft,0
when i opened the sandwich i was impressed but not in a good way,0
waitress was a little slow in service,0
phenomenal food service and ambiance,1
service was exceptional and food was a good as all the reviews,1
we had at our table and the service was pretty fast,1
that just screams legit in my book somethat s also pretty rare here in vegas,1
del taco is pretty nasty and should be avoided if possible,0
you can watch them preparing the delicious food,1
check it out,1
my friend did not like his bloody mary,0
it was awesome,1
the burger had absolutely no flavor the meat itself was totally bland the burger was overcooked and there was no charcoal flavor,0
please stay away from the shrimp stir fried noodles,0
the service was poor and thats being nice,0
thumbs up,1
special thanks to dylan t for the recommendation on what to order all yummy for my tummy,1
total brunch fail,0
i kept looking at the time and it had soon become minutes yet still no food,0
at first glance it is a lovely bakery cafe nice ambiance clean friendly staff,1
all in all ha long bay was a bit of a flop,0
the only thing i did like was the prime rib and dessert section,1
this is my new fav vegas buffet spot,1
i ordered the voodoo pasta and it was the first time i d had really excellent pasta since going gluten free several years ago,1
i probably would not go here again,0
this really is how vegas fine dining used to be right down to the menus handed to the ladies that have no prices listed,1
highly recommended,1
give it a try you will be happy you did,1
if you want a sandwich just go to any firehouse,1
the ambiance isn t much better,0
it was equally awful,0
the food is very good for your typical bar food,1
the ambiance here did not feel like a buffet setting but more of a douchey indoor garden for tea and biscuits,0
we asked for the bill to leave without eating and they didn t bring that either,0
this place is not quality sushi it is not a quality restaurant,0
after one bite i was hooked,1
go to place for gyros,1
i loved the bacon wrapped dates,1
they never brought a salad we asked for,0
the fries were not hot and neither was my burger,0
i like steiners because it s dark and it feels like a bar,1
the tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu,0
server did a great job handling our large rowdy table,1
this is the place where i first had pho and it was amazing,1
poor service the waiter made me feel like i was stupid every time he came to the table,0
it s not hard to make a decent hamburger,0
and the beans and rice were mediocre at best,0
this was my first and only vegas buffet and it did not disappoint,1
hell no will i go back,0
the potatoes were great and so was the biscuit,1
the cashier was friendly and even brought the food out to me,1
the food came out at a good pace,1
